Pergunta,Resposta
Quem foi o primeiro imperador do Brasil?,D. Pedro I
Em que ano o Brasil declarou sua independência?,1822
Quem liderou a Inconfidência Mineira?,Tiradentes
Qual foi a capital do Brasil antes de Brasília?,Rio de Janeiro
Quem assinou a Lei Áurea que aboliu a escravidão no Brasil?,Princesa Isabel
Qual era o nome do líder do movimento conhecido como Canudos?,Antônio Conselheiro
Qual país colonizou o Brasil?,Portugal
Qual foi o principal produto exportado pelo Brasil durante o ciclo do açúcar?,Açúcar
Em que ano ocorreu o golpe militar que instaurou a ditadura no Brasil?,1964
Quem foi o presidente do Brasil durante o Plano Real?,Itamar Franco
